id,stateName,name,geoid,electionYear,vtdst10,aland,awater, totalVotes 
54,NH,TOWN OF STODDARD,33005STOD01,2016,STOD01,131798164,5481894, 765 
55,NH,TOWN OF SULLIVAN,33005SULL01,2016,SULL01,47988494,489879, 396 
56,NH,TOWN OF SURRY,33005SURR01,2016,SURR01,40479683,817757, 499 
57,NH,TOWN OF SWANZEY,33005SWAN01,2016,SWAN01,116626779,924231," 3,816 "
58,NH,TOWN OF TROY,33005TROY01,2016,TROY01,45124984,405681, 999 
59,NH,TOWN OF WALPOLE,33005WALP01,2016,WALP01,91111889,3950354," 2,058 "
60,NH,TOWN OF WESTMORELAND,33005WEST01,2016,WEST01,92704224,2807191," 1,019 "
61,NH,TOWN OF WINCHESTER,33005WINC01,2016,WINC01,142349955,1417968," 1,769 "
62,NH,BERLIN WARD 1,33007BERL01,2016,BERL01,116119025,900002, 980 
63,NH,BERLIN WARD 2,33007BERL02,2016,BERL02,4115106,146198, 980 
64,NH,BERLIN WARD 3,33007BERL03,2016,BERL03,31895969,929254, 980 
65,NH,BERLIN WARD 4,33007BERL04,2016,BERL04,7457913,213890, 980 
66,NH,TOWN OF CARROLL,33007CARR01,2016,CARR01,129946507,62341, 473 
67,NH,TOWN OF CLARKSVILLE,33007CLAR01,2016,CLAR01,155698948,5545828, 172 
68,NH,TOWN OF COLEBROOK,33007COLE01,2016,COLE01,105395244,525801," 1,019 "
69,NH,TOWN OF COLUMBIA,33007COLU01,2016,COLU01,156097208,860460, 343 
70,NH,TOWN OF DALTON,33007DALT01,2016,DALT01,71179103,1449634, 495 
71,NH,TOWN OF ERROL,33007ERRO01,2016,ERRO01,157041100,23619092, 195 
72,NH,TOWN OF GORHAM,33007GORH01,2016,GORH01,82417371,1252605," 1,533 "
73,NH,TOWN OF JEFFERSON,33007JEFF01,2016,JEFF01,129753207,855647, 602 
74,NH,TOWN OF LANCASTER,33007LANC01,2016,LANC01,129104684,2269410," 1,583 "
